,dataset_id,prompt,prompt_type,prompt_id,max_disagreement_less_0.3,max_disagreement_less_0.35,max_disagreement_less_0.4,max_disagreement_less_0.45,max_disagreement_less_0.5,v1_max_disagreement_less_0.45
0,ne/landmarks:landmarks,"Ulvetanna Peak, Queen Maud Land, Antarctica during sunrise",Gecko(S),0,False,False,False,False,False,False
1,ne/landmarks:landmarks,a helicopter landing on the foot of the Mount Erebus in Antarctica Mount Melbourne,Gecko(S),1,True,True,True,True,True,True
2,ne/landmarks:landmarks,"Photo of a penguin on Ross Ice Shelf in 1959, Antarctica",Gecko(S),2,True,True,True,True,True,True
3,ne/landmarks:landmarks,A beautiful sunset over the Sea of Galilee,Gecko(S),3,False,False,False,True,True,True
4,ne/landmarks:landmarks,red leaves of a maple tree in autumn and a cherry tree in blossom in spring on a sunny and breezy evening at the approach of the kiyomizu-dera at night,Gecko(S),4,True,True,True,True,True,True
5,ne/landmarks:landmarks,Izumo-taisha Shrine under snow in winter with no people,Gecko(S),5,False,True,True,True,True,True
6,ne/landmarks:landmarks,A red shrine in the forest close to nature around Meiji Jingu,Gecko(S),6,False,True,True,True,True,True
7,ne/landmarks:landmarks,A photo of Ginzan Onsen at night during winter with lots of snow,Gecko(S),7,True,True,True,True,True,True
8,ne/landmarks:landmarks,"Angkor Wat in the Cambodian jungle at sunrise, in a misty light, looking mysterious and ancient.",Gecko(S),8,True,True,True,True,True,True
9,ne/landmarks:landmarks,misty sunrise at the section of the Great Wall of China,Gecko(S),9,False,False,False,False,True,False
10,ne/landmarks:landmarks,Hassan Tower in Rabat during a lightning storm at night.,Gecko(S),10,False,True,True,True,True,True
11,ne/landmarks:landmarks,archaeologist digging up the skeleton of a t rex fossil at the Cradle of Humankind,Gecko(S),11,True,True,True,True,True,True
12,ne/landmarks:landmarks,Saqqara is the site of an ancient egyptian pyramid and funerary complex.,Gecko(S),12,False,False,False,False,False,False
13,ne/landmarks:landmarks,elephants enjoying the beach in Diani Beach in Kenya.,Gecko(S),13,True,True,True,True,True,True
14,ne/landmarks:landmarks,a spaceship floating above the pyramids in Great Zimbabwe firing laser beams at approaching aliens,Gecko(S),14,True,True,True,True,True,True
15,ne/landmarks:landmarks,warm light from a full moon and the silhouette of a howling wolf in the desert at the Pyramid of Khafre,Gecko(S),15,True,True,True,True,True,True
16,ne/landmarks:landmarks,Bahia Palace in winter with a thick blanket of snow,Gecko(S),16,False,False,True,True,True,False
17,ne/landmarks:landmarks,"The Grand Egyptian Museum in a dark night with full moon, pharaos walking in it with their soldiers",Gecko(S),17,False,False,True,True,True,False
18,ne/landmarks:landmarks,A photorealistic 3d rendering of a Pyramid of Djoser with statue of Anubis in ancient Egypt,Gecko(S),18,False,False,False,True,True,False
19,ne/landmarks:landmarks,The tropical rainforest reclaiming an abandoned alien spaceship and pyramid made of stone near Playa Blanca.,Gecko(S),19,False,False,False,False,False,False
20,ne/landmarks:landmarks,this ancient temple at dusk in the evening with the Nile River behind it shows tourists and a cruise ship at sunset,Gecko(S),20,False,False,False,False,False,False
21,ne/landmarks:landmarks,"the boulders beach is a popular tourist destination, especially on a sunny day when the weather is warm and the sky is a clear blue",Gecko(S),21,True,True,True,True,True,True
22,ne/landmarks:landmarks,A picture of a camel at the Jama El f’na Market.,Gecko(S),22,True,True,True,True,True,True
23,ne/landmarks:landmarks,"a long exposure image of the golden dunes at Playa del Ingles on the Canary Island, with a lone tourist",Gecko(S),23,False,False,True,True,True,False
24,ne/landmarks:landmarks,"The Great Sphinx of Giza, situated in the Giza Plateau on the outskirts of Cairo, the pyramids of Giza, dromedary, palm trees in the desert, Egypt. camel with tourists at sunset",Gecko(S),24,False,False,False,False,False,False
25,ne/landmarks:landmarks,"a stunning high-resolution 8K Aerial panoramic aerial video of the Spanish Canary Islands , Mount Teide",Gecko(S),25,False,False,False,False,False,False
26,ne/landmarks:landmarks,"An alien spaceship hovering amongst the Pyramids of Giza at the Giza Necropolis in Death Valley National Park, Mojave Desert in California.",Gecko(S),26,False,False,False,False,False,False
27,ne/landmarks:landmarks,A photo of Monserrate on a cloudy night taken from the hill.,Gecko(S),27,True,True,True,True,True,True
28,ne/landmarks:landmarks,"a drone footage at sunrise over exotic beach with coconut palm trees in Pipa Beach, white sand, clear water and tropical islands in summer",Gecko(S),28,True,True,True,True,True,True
29,ne/landmarks:landmarks,"drone flying over Guarda Do Embaú Beach, a stunning beach located on the south coast of Santa Catarina state in Brazil.",Gecko(S),29,False,False,False,False,False,False
30,ne/landmarks:landmarks,"black and white infrared photo of Parque Lage, highlighting the trees and gardens",Gecko(S),30,True,True,True,True,True,True
31,ne/landmarks:landmarks,urban scene on a rainy night by a street in Buenos Aires with the lit Teatro Colón in the background and a blue building with lights,Gecko(S),31,False,False,False,False,False,False
32,ne/landmarks:landmarks,A ship caught in a storm off Cape Horn,Gecko(S),32,True,True,True,True,True,True
33,ne/landmarks:landmarks,"Uyuni Salt Flat, Bolivia is flooded during the rain season and appears as endless desert as it dries",Gecko(S),33,False,False,False,False,False,False
34,ne/landmarks:landmarks,photo of godzilla in front of Angel Falls as the fighter jets fly above them,Gecko(S),34,True,True,True,True,True,True
35,ne/landmarks:landmarks,"The Twelve Apostles in Loch Fyne, Scotland",Gecko(S),35,False,False,False,False,False,False
36,ne/landmarks:landmarks,sunrise at the end of the Tongariro Alpine Crossing in New Zealand,Gecko(S),36,False,False,False,False,False,False
37,ne/landmarks:landmarks,a lord howe island palm tree with a moon rising in the distance,Gecko(S),37,True,True,True,True,True,True
38,ne/landmarks:landmarks,"An anaconda swimming in Milford Sound, New Zealand during the Cretaceous period.",Gecko(S),38,True,True,True,True,True,True
39,ne/landmarks:landmarks,Uluru glowing red under an amazing sunrise,Gecko(S),39,False,False,False,False,False,False
40,ne/landmarks:landmarks,2022. Active volcano Whakaari / White Island in New Zealand. Tourists are exploring the island.,Gecko(S),40,False,True,True,True,True,True
41,ne/landmarks:landmarks,time lapse of sunrise over at the Hoover Dam,Gecko(S),41,False,False,False,False,False,False
42,ne/landmarks:landmarks,photo of central park in New York City in winter with snow,Gecko(S),42,True,True,True,True,True,True
43,ne/landmarks:landmarks,A black 1966 Ford Mustang on the streets of New York near the New York Stock Exchange.,Gecko(S),43,True,True,True,True,True,True
44,ne/landmarks:landmarks,ancient ruins of Tikal and Chichen Itza in the Jurassic jungle of South America,Gecko(S),44,False,False,False,False,False,False
45,ne/landmarks:landmarks,the Great Sphinx of Giza next to Mount Rushmore National Memorial in Egypt,Gecko(S),45,False,False,True,True,True,False
46,ne/landmarks:landmarks,"Alcatraz Island is now a luxury night club with a great restaurant, live band that plays your favorite 80s music and huge dance floor.",Gecko(S),46,False,False,False,False,False,False
47,ne/landmarks:landmarks,"Vincent van Gogh's Starry Night, upscaled to 4K, zoom in (1889, The Metropolitan Museum of Art).",Gecko(S),47,False,False,False,False,False,False
48,ne/landmarks:landmarks,aerial time lapse of niagara falls in winter at sunrise,Gecko(S),48,False,True,True,True,True,True
49,ne/landmarks:landmarks,Half Dome in Yosemite National Park during sunrise. There is a single tent in the foreground,Gecko(S),49,False,False,False,False,False,False
50,ne/landmarks:landmarks,A space shuttle taking off from St. Peter's Basilica.,Gecko(S),50,False,False,False,False,False,False
51,ne/landmarks:landmarks,"tourist at Tower Bridge (London, UK) in cloudy weather and light rain in the middle of sunny day",Gecko(S),51,True,True,True,True,True,True
52,ne/landmarks:landmarks,Royal Albert Hall concert in 1964,Gecko(S),52,False,False,False,False,False,False
53,ne/landmarks:landmarks,"a boat on lake como on a stormy day with heavy rain, wind, dark storm clouds, lightning and thunder",Gecko(S),53,True,True,True,True,True,True
54,ne/landmarks:landmarks,Floating islands on the lake of Garda in Italy,Gecko(S),54,False,False,False,False,False,False
55,ne/landmarks:landmarks,"Brandenburg Gate, at night, during a storm with lots of lightning, photorealistic 3D illustration",Gecko(S),55,False,True,True,True,True,True
56,ne/landmarks:landmarks,The Musée d'Orsay is located on the banks of the Seine. It's a beautiful evening at dusk.,Gecko(S),56,False,False,False,False,False,False
57,ne/landmarks:landmarks,gothic architecture of University of Cambridge in the evening with bright lights and misty weather,Gecko(S),57,False,False,False,False,False,False
58,ne/landmarks:landmarks,Graffiti sprayed on the outside of the British Museum at night,Gecko(S),58,True,True,True,True,True,True
59,ne/artwork:artwork,a Statue of Liberty in the middle of a field of flowers.,Gecko(S),59,False,True,True,True,True,True
60,ne/artwork:artwork,a Mona Lisa painting with a red frame.,Gecko(S),60,True,True,True,True,True,True
61,ne/artwork:artwork,The Starry Night is placed next to a tree across the road.,Gecko(S),61,False,False,False,False,False,False
62,ne/artwork:artwork,a painting of Las Meninas is hanging on the wall of a room.,Gecko(S),62,False,False,False,False,False,False
63,ne/artwork:artwork,The Night Watch painting is placed on a table next to a computer.,Gecko(S),63,False,False,False,False,False,False
64,ne/artwork:artwork,A Sunday Afternoon on the Island of La Grande Jatte is on display in a museum.,Gecko(S),64,False,False,False,False,False,False
65,ne/artwork:artwork,Whistler's Mother is sitting on a bench in a park.,Gecko(S),65,True,True,True,True,True,True
66,ne/artwork:artwork,Liberty Leading the People is painted on a wall in a subway station.,Gecko(S),66,False,False,False,True,True,True
67,ne/artwork:artwork,the statue of David is in the middle of a field.,Gecko(S),67,True,True,True,True,True,True
68,ne/artwork:artwork,Saturn Devouring His Son is on the wall of a room with a blue carpet.,Gecko(S),68,False,False,False,False,False,False
69,ne/artwork:artwork,Melencolia I is placed on a table next to a computer.,Gecko(S),69,False,False,False,False,True,False
70,ne/artwork:artwork,a painting of Isle of the Dead on a wall in a hospital.,Gecko(S),70,False,False,False,False,False,False
71,ne/artwork:artwork,La maja desnuda is on the wall of a room with a red carpet.,Gecko(S),71,True,True,True,True,True,False
72,ne/artwork:artwork,a painting of The Milkmaid hangs on the wall of a living room.,Gecko(S),72,False,False,False,True,True,False
